Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02
3812.642,0.184737233,0.388455525,0.167208375,0.159937667,0.241026967,0.514215,0.320142367,0.05436371,-0.075301303,0.33798845,0.14210795,0.053417175,0.186538667,0.099650233,-0.03262823,0.172766367,0.07135561,0.126331233,0.33177415,0.080109233,0.2171615,0.2422496,0.296546667,0.164932867,0.214967856,0.1251636,0.103589023,0.16001475,0.172871167,0.555690625
3814.57,0.184767233,0.388504775,0.166768525,0.159994533,0.2410928,0.513425467,0.3196916,0.054305353,-0.07521333,0.33732625,0.1420053,0.053957435,0.187325067,0.099544037,-0.03267009,0.172586433,0.07171438,0.1261352,0.33194185,0.08019702,0.216930933,0.24204215,0.2964991,0.164991533,0.215444178,0.125103,0.103470247,0.159411,0.172419867,0.55623935
3816.499,0.1846371,0.388484025,0.1662293,0.160041533,0.241317033,0.512435333,0.319015133,0.054113743,-0.075185413,0.3368841,0.14207885,0.054262365,0.188115833,0.099552003,-0.032678639,0.172225267,0.07203616,0.1258806,0.331864,0.08001681,0.216577733,0.2416446,0.296315433,0.1647466,0.215586056,0.125205,0.103299713,0.158658,0.171848367,0.556978925
3818.427,0.184577133,0.388392975,0.1658015,0.1600603,0.241533133,0.5115817,0.3184264,0.05393717,-0.075417233,0.3369485,0.1422625,0.05445152,0.1884371,0.099546797,-0.03271666,0.171783667,0.07216423,0.125653267,0.331849,0.079801213,0.216308133,0.2414656,0.296006667,0.164427533,0.214707522,0.1252063,0.10325001,0.1578459,0.171560167,0.557767975
3820.355,0.184670333,0.388383125,0.1655258,0.160052833,0.2417607,0.510933367,0.317972267,0.053946008,-0.075819257,0.3372178,0.1425727,0.05462884,0.188483067,0.099490103,-0.032733504,0.171329933,0.072065905,0.125505767,0.33207755,0.07960002,0.2161862,0.24128065,0.2958252,0.164213133,0.215149156,0.1251468,0.10331464,0.1573892,0.171582933,0.558546675
3822.284,0.184762333,0.3885304,0.1653613,0.1599797,0.2419504,0.510381567,0.317591233,0.053815263,-0.076462127,0.3374833,0.1428767,0.054536725,0.188505467,0.09940896,-0.032786369,0.170976567,0.07182194,0.125359567,0.33202075,0.079239793,0.2160561,0.24091435,0.2957109,0.1639129,0.216213478,0.125081833,0.103407173,0.1571336,0.171498267,0.559196725
3824.213,0.1848911,0.388928275,0.165328875,0.1599242,0.242160033,0.5099362,0.3174596,0.053682368,-0.077212723,0.3374634,0.14329105,0.054149605,0.1884764,0.099334977,-0.032860517,0.170858767,0.071574085,0.125408933,0.3319143,0.07902495,0.216060633,0.2407231,0.295724667,0.1635106,0.215849544,0.1249738,0.103600617,0.15687805,0.1714409,0.5596892
3826.141,0.185098967,0.38941935,0.1651663,0.159838867,0.2423543,0.509455767,0.3173937,0.053613708,-0.077917037,0.337311,0.14367185,0.053661695,0.1881717,0.099312457,-0.032959505,0.170812233,0.07152045,0.125423033,0.33176765,0.078932847,0.216056433,0.2405641,0.295630233,0.163008533,0.2150503,0.1249389,0.103743793,0.1567258,0.171477767,0.560092625
3828.07,0.185361133,0.3897619,0.165034025,0.1597429,0.242307333,0.5090346,0.3174164,0.053543673,-0.078417663,0.3377601,0.14406,0.05298865,0.1876775,0.09928188,-0.033054986,0.170758533,0.07161725,0.125384033,0.3314551,0.078909573,0.216056033,0.2404565,0.295479,0.162469167,0.214637867,0.1250006,0.103797883,0.15689585,0.171470667,0.560522325
3829.998,0.1856199,0.3899223,0.1650298,0.159639767,0.242129533,0.5087726,0.3174686,0.05349861,-0.078697693,0.33804725,0.1442607,0.05226874,0.187493167,0.099229877,-0.033118166,0.170733,0.07169809,0.125281633,0.33093345,0.078838067,0.2160099,0.2404573,0.295332267,0.161976167,0.214520289,0.125049533,0.10380997,0.1571756,0.171454733,0.561034
3831.927,0.1856644,0.38986725,0.1649662,0.1596257,0.2418718,0.508473533,0.317330933,0.05339613,-0.078759683,0.33810845,0.14425885,0.052060235,0.1872283,0.09931353,-0.033142553,0.1706371,0.071960175,0.125077233,0.3306102,0.07875753,0.2158764,0.24049025,0.295080633,0.161550333,0.214581589,0.125124433,0.103754353,0.1573705,0.171251967,0.561560975
3833.855,0.185678833,0.3898821,0.164984775,0.159617233,0.241647867,0.508276,0.317328967,0.05330962,-0.078816727,0.3383458,0.14423195,0.05209811,0.186911033,0.099349777,-0.03317086,0.170555067,0.07221529,0.1249536,0.33024065,0.07862459,0.215821467,0.2404412,0.294926567,0.1612488,0.2145666,0.125138267,0.10373114,0.15754985,0.171041867,0.5621071
3835.783,0.185583633,0.390063425,0.16447905,0.1596331,0.241571533,0.5079043,0.317320933,0.05298015,-0.078685893,0.33838725,0.1440927,0.052436195,0.186685533,0.09936338,-0.033110304,0.170445067,0.072428675,0.124763567,0.32976905,0.078579663,0.215776733,0.24031515,0.294856567,0.161015267,0.214633656,0.1251501,0.103655567,0.15789615,0.170720433,0.562543325
3837.712,0.185570133,0.390510775,0.1640394,0.1596595,0.241746567,0.507486767,0.317239433,0.052743985,-0.078720427,0.33818465,0.14402045,0.05268445,0.1867159,0.099374843,-0.033084238,0.170429633,0.072568265,0.1246739,0.32973365,0.078715913,0.215848667,0.2402186,0.294956533,0.1609186,0.215841833,0.125040133,0.103638617,0.15833995,0.170482533,0.563057625
3839.641,0.185903467,0.391097725,0.164545475,0.159705533,0.242066067,0.5073687,0.3174674,0.05301039,-0.07894638,0.33820625,0.14424725,0.052478325,0.187082767,0.09930277,-0.033201368,0.170727633,0.072414805,0.1250106,0.32998655,0.0789872,0.216222933,0.2404851,0.295304633,0.161106367,0.216102089,0.124652333,0.103738117,0.1588132,0.170735967,0.563615675
